species,source,reference_link,population_ID,reference,trait,unit,mean.male,n.male,SD.male,mean.female,n.female,SD.female,comments,exclude,location,Measurement
Larus atlanticus,Petracci et al. 2018,https://doi.org/10.1675/063.041.0404,172,new,wing length,mm,418.6,54,9.8,402,64,8.9,NA,No,"breeding colony located in the Bahía Blanca Estuary (38°  49?  S,  62°  16?  W),  Argentina","""wing length (from carpal joint to the tip of the wing in naturally folded wing; nearest mm) (Eck et al. 2011)"""
Larus crassirostis,Chochi et al. 2002,https://doi.org/10.2326/osj.1.163,173,R&E2013,wing length,mm,390.1,139,8,373.9,98,7.5,Unfolded wing measurement?,No,"Rishiri Island (45°05N, 141°07E), off the northwest coast of Hokkaido, Japan","""wing length (WL: natural chord)"""
Larus michahellis,Aguirre et al. 2009,https://www.ucm.es/data/cont/media/www/pag-60246/Aguirre%20et%20al%202009.ARDEOLA.pdf,309,R&E2013,wing length,mm,458.33,18,11.17,439.47,19,13.94,NA,No,Chafarinas Islands,NA
Larus michahellis,Arizaga et al. 2008,https://doi.org/10.1675/1524-4695(2008)31[211:SDOYGL]2.0.CO;2,174,R&E2013,wing length,mm,441.2,86,9.967948636,422.5,69,9.912618221,No mention of measurement at all,No,"Zarauz (43°17'N, 02°10'W, N Spain)",NA
Larus michahellis,Galarza et al. 2008,https://www.researchgate.net/profile/A-Galarza/publication/228495129_Sexual_size_dimorphism_and_determination_of_sex_in_Atlantic_yellow-legged_gulls_Larus_michahellis_lusitanius_from_Northern_Spain/links/0c9605183e651529d7000000/Sexual-size-dimorphism-and-determination-of-sex-in-Atlantic-yellow-legged-gulls-Larus-michahellis-lusitanius-from-Northern-Spain.pdf,175,R&E2013,wing length,mm,440,31,9.1,417.4,36,9.1,NA,No,"Izaro Island (43º 25’ N, 02º 41’ W) and San Nicolás Island (43º 22’N, 02º 30’ W), Biscay, Basque Country, Northern Spain","""flat wing (...) were measured to the nearest 1 mm using a ruler"""
Larus ridibundus,Meissner 2007,https://doi.org/10.1675/1524-4695(2007)030[0144:DIPMAB]2.0.CO;2,176,R&E2013,wing length,mm,318.9,48,6.79,300.9,115,7.55,NA,No,"Rewa village (54°38’N, 18°31’E)","""wing length (maximum chord method) with accuracy of 1 mm with a stopped ruler"""
Leiothrix lutea,Pagani-Núñez 2013,https://doi.org/10.1080/00063657.2012.753024,177,new,wing length,mm,69.31,16,2.21,67.58,12,3.12,Original reference: Pagani-Núnes et al.2013,No,"Barcelona, Northeast Spain","""wing length (mm) with a ruler, using the maximum chord method (Svensson 1992)"""
Limosa lapponica,Piersma & Jukema 1990,https://doi.org/10.5253/arde.v78.p315,178,R&E2013,wing length,mm,213.8,58,5.9,229.1,26,6.4,NA,No,"Banc d'Arguin, Iouik, Mauritania (l9°53'N, 16°17'W)","""Wing length (maximum chord, Evans 1986)"""
Limosa lapponica,Piersma & Jukema 1990,https://doi.org/10.5253/arde.v78.p315,179,R&E2013,wing length,mm,215.6,576,4.6,228.1,289,5.5,NA,No,"Paesenserpolder, Wadden Sea (53°21 'N, 6°06'E)","""Wing length (maximum chord, Evans 1986)"""
Limosa limosa,Gunnarsson et al. 2006,https://doi.org/10.1080/00063650609461433,180,R&E2013,wing length,mm,214.3,52,4.16,228.5,32,5.13,NA,No,"Iceland, the UK and France","""wing length (maximum chord) (...) measured to the nearest 0.1 mm with calipers"""
Limosa limosa,Schroeder et al. 2008,https://doi.org/10.5253/078.096.0104,181,R&E2013,wing length,mm,213.08,64,5.31,224.13,70,6.75,NA,No,"Friesland, The Netherlands (52°59'N, 5°24'E)","""wing length (flattened and straightened, ±1 mm)"""
Locustella luscinioides,Nowakowski 2002,https://doi.org/10.2478/v10050-008-0078-y,182,R&E2013,wing length,mm,70.92,62,2.15,69.41,42,1.94,"Original species: Locustella luscinoides, method of measurement is Busse P. 1974. Biometrical methods. Not. Orn. 15: 114-126., book not accessible",No,"Bagno Lawki peatbog, Biebrza National Park","""Operation Baltic standards (Busse 1974)"""
Loxia curvirostra,Alonso et al. 2006,https://d1wqtxts1xzle7.cloudfront.net/43148508/Morphologic_and_genetic_diversity_among_20160227-5073-w1ctce.pdf?1456623404=&response-content-disposition=inline%3B+filename%3DMorphologic_and_genetic_diversity_among.pdf&Expires=1628653804&Signature=GYcRAUjucTkqMU29xC6QrXY4wVl9a8-j31E5ls2sOC-hvdqWz1q4cRyJXW3shlsLSDZaitpjmLTMOHXmcyZrkQL4qxhwAzfboOljUryToMmGxAZrcp3bZ90t6gUoScuS-0BGA27~c62G0Dk2qJt4S92gYgi4FE4B940sQOfLQjhW66QyAMLOzNIGuQmP8BeQZqgw3DN66LVhK38ZFdyjUrFQdg0pjiufkvuDkdi9g6FX3nzIz1kl3JgXWOsfgqMtT5~8Bawqt50A87YMkWOl4XUT5j3EgAhwEirV38ylbJhc6YYwvLqDwIN-EG4qJxsS3TR75pHkq1s8uwBhnko2SQ__&Key-Pair-Id=APKAJLOHF5GGSLRBV4ZA,183,R&E2013,wing length,mm,91.1,102,2,94.5,80,2,NA,No,"Navarra (Sierra de Leire, 42°40'N, 01°07'W, Sierra de Uztarroz, 42°52'N, 01°00'W)","""according to Svensson (1992): wing length (flattened and straightened, WL, ± 0.5 mm)"""
Loxia curvirostra,Alonso et al. 2006,https://d1wqtxts1xzle7.cloudfront.net/43148508/Morphologic_and_genetic_diversity_among_20160227-5073-w1ctce.pdf?1456623404=&response-content-disposition=inline%3B+filename%3DMorphologic_and_genetic_diversity_among.pdf&Expires=1628653804&Signature=GYcRAUjucTkqMU29xC6QrXY4wVl9a8-j31E5ls2sOC-hvdqWz1q4cRyJXW3shlsLSDZaitpjmLTMOHXmcyZrkQL4qxhwAzfboOljUryToMmGxAZrcp3bZ90t6gUoScuS-0BGA27~c62G0Dk2qJt4S92gYgi4FE4B940sQOfLQjhW66QyAMLOzNIGuQmP8BeQZqgw3DN66LVhK38ZFdyjUrFQdg0pjiufkvuDkdi9g6FX3nzIz1kl3JgXWOsfgqMtT5~8Bawqt50A87YMkWOl4XUT5j3EgAhwEirV38ylbJhc6YYwvLqDwIN-EG4qJxsS3TR75pHkq1s8uwBhnko2SQ__&Key-Pair-Id=APKAJLOHF5GGSLRBV4ZA,184,R&E2013,wing length,mm,94.9,79,2.8,92.1,61,2.7,NA,No,"Alicante (Sierra de Maigmó, 38°30'N, 00°40'W)","""according to Svensson (1992): wing length (flattened and straightened, WL, ± 0.5 mm)"""
Loxia curvirostra,Alonso et al. 2006,https://d1wqtxts1xzle7.cloudfront.net/43148508/Morphologic_and_genetic_diversity_among_20160227-5073-w1ctce.pdf?1456623404=&response-content-disposition=inline%3B+filename%3DMorphologic_and_genetic_diversity_among.pdf&Expires=1628653804&Signature=GYcRAUjucTkqMU29xC6QrXY4wVl9a8-j31E5ls2sOC-hvdqWz1q4cRyJXW3shlsLSDZaitpjmLTMOHXmcyZrkQL4qxhwAzfboOljUryToMmGxAZrcp3bZ90t6gUoScuS-0BGA27~c62G0Dk2qJt4S92gYgi4FE4B940sQOfLQjhW66QyAMLOzNIGuQmP8BeQZqgw3DN66LVhK38ZFdyjUrFQdg0pjiufkvuDkdi9g6FX3nzIz1kl3JgXWOsfgqMtT5~8Bawqt50A87YMkWOl4XUT5j3EgAhwEirV38ylbJhc6YYwvLqDwIN-EG4qJxsS3TR75pHkq1s8uwBhnko2SQ__&Key-Pair-Id=APKAJLOHF5GGSLRBV4ZA,185,R&E2013,wing length,mm,95.3,33,2,93.4,23,2,NA,No,"Málaga (Montes de Málaga, 36°50'N, 04°23'W)","""according to Svensson (1992): wing length (flattened and straightened, WL, ± 0.5 mm)"""
Loxia curvirostra,Alonso et al. 2006,https://d1wqtxts1xzle7.cloudfront.net/43148508/Morphologic_and_genetic_diversity_among_20160227-5073-w1ctce.pdf?1456623404=&response-content-disposition=inline%3B+filename%3DMorphologic_and_genetic_diversity_among.pdf&Expires=1628653804&Signature=GYcRAUjucTkqMU29xC6QrXY4wVl9a8-j31E5ls2sOC-hvdqWz1q4cRyJXW3shlsLSDZaitpjmLTMOHXmcyZrkQL4qxhwAzfboOljUryToMmGxAZrcp3bZ90t6gUoScuS-0BGA27~c62G0Dk2qJt4S92gYgi4FE4B940sQOfLQjhW66QyAMLOzNIGuQmP8BeQZqgw3DN66LVhK38ZFdyjUrFQdg0pjiufkvuDkdi9g6FX3nzIz1kl3JgXWOsfgqMtT5~8Bawqt50A87YMkWOl4XUT5j3EgAhwEirV38ylbJhc6YYwvLqDwIN-EG4qJxsS3TR75pHkq1s8uwBhnko2SQ__&Key-Pair-Id=APKAJLOHF5GGSLRBV4ZA,186,R&E2013,wing length,mm,93.7,6,2.3,89.1,8,4.2,NA,No,"Mallorca (Sierra de Tramontana, 39°33'N, 02°31'E and 39°56'N, 03°08'E)","""according to Svensson (1992): wing length (flattened and straightened, WL, ± 0.5 mm)"""
Luscinia svecica,Campos et al. 2011,https://doi.org/10.13157/arla.58.2.2011.267,187,new,wing length,mm,76.63,27,1.86,NA,NA,NA,Original species: Luscina svecica,No,Sierra-Béjar,"""Following Svensson (1996), we measured maximum wing-length (...) with a ruler (± 0.5 mm)"""
Luscinia svecica,Campos et al. 2011,https://doi.org/10.13157/arla.58.2.2011.267,188,new,wing length,mm,76.68,22,1.21,NA,NA,NA,Original species: Luscina svecica,No,Sierra-Piedrahita,"""Following Svensson (1996), we measured maximum wing-length (...) with a ruler (± 0.5 mm)"""
Luscinia svecica,Campos et al. 2011,https://doi.org/10.13157/arla.58.2.2011.267,189,new,wing length,mm,76.41,18,1.53,NA,NA,NA,Original species: Luscina svecica,No,Sierra-Gredos,"""Following Svensson (1996), we measured maximum wing-length (...) with a ruler (± 0.5 mm)"""
Luscinia svecica,Campos et al. 2011,https://doi.org/10.13157/arla.58.2.2011.267,190,new,wing length,mm,77.06,33,1.45,NA,NA,NA,Original species: Luscina svecica,No,Sierra-Paramera,"""Following Svensson (1996), we measured maximum wing-length (...) with a ruler (± 0.5 mm)"""
Luscinia svecica,Ellegren 1991,https://doi.org/10.2307/3676506,191,R&E2013,wing length,mm,77.93,224,1.69,74.48,147,1.43,NA,No,"Inre Fjärden, Gävle, Sweden (60°42', 17°11'E)","""Wing length was measured according to method 3 of Svensson (1984)"""
Luscinia svecica,Weng et al. 2014,https://www.researchgate.net/profile/Yuan-Hsun-Sun/publication/279045977_Molecular_sexing_and_stable_isotope_analyses_reveal_incomplete_sexual_dimorphism_and_potential_breeding_range_of_Siberian_Rubythroats_Luscinia_calliope_captured_in_Taiwan/links/5880766608ae71eb5dc18dee/Molecular-sexing-and-stable-isotope-analyses-reveal-incomplete-sexual-dimorphism-and-potential-breeding-range-of-Siberian-Rubythroats-Luscinia-calliope-captured-in-Taiwan.pdf,192,new,wing length,mm,78.8,39,2,75.1,17,1.3,"Original species: Luscina svecica, unflattened wing",No,"Donggang River, Taiwan (22.633°N 120.617°E)","""according to (...) Taiwan Bird Banding Center (1989) and were measured to the nearest 0.1 mm"""
Luscinia svecica,Weng et al. 2014,https://www.researchgate.net/profile/Yuan-Hsun-Sun/publication/279045977_Molecular_sexing_and_stable_isotope_analyses_reveal_incomplete_sexual_dimorphism_and_potential_breeding_range_of_Siberian_Rubythroats_Luscinia_calliope_captured_in_Taiwan/links/5880766608ae71eb5dc18dee/Molecular-sexing-and-stable-isotope-analyses-reveal-incomplete-sexual-dimorphism-and-potential-breeding-range-of-Siberian-Rubythroats-Luscinia-calliope-captured-in-Taiwan.pdf,192,new,wing length,mm,80.5,39,2.2,77,17,1.3,"Original species: Luscina svecica, flattened wing",No,"Donggang River, Taiwan (22.633°N 120.617°E)","""according to (...) Taiwan Bird Banding Center (1989) and were measured to the nearest 0.1 mm"""
Macronectes halli,Gonzalez-Solis et al. 2004,https://doi.org/10.1111/j.0030-1299.2004.12997.x,193,R&E2013,wing length,mm,526,71,11.046,500.6,77,9.0108,"Original references: Gonzales-Solis et al. 2004, reported CV.male: 2.1, CV:female: 1.8, original SD.male: 9.43477894736842, SD.female: 10.4785786407767",No,"Bird Island, South Georgia (54° 03 S, 38° 36 W)","""Length of folded right wing held flat and straight to the ruler was measured to an accuracy of 1 mm."""
Malurus alboscapulatus aida,Swaddle et al. 2000,https://doi.org/10.1093/beheco/11.3.345,194,R&E2013,wing length,mm,48.9,10,2.4,47.5,6,0.6,"No explicit mention of measurement, only reference to own data and two books that are not accessible; estimates from Table 1",No,Queensland,NA
Malurus alboscapulatus alboscapulatus,Swaddle et al. 2000,https://doi.org/10.1093/beheco/11.3.345,195,R&E2013,wing length,mm,50.6,5,0.6,48.8,5,0.8,"No explicit mention of measurement, only reference to own data and two books that are not accessible; estimates from Table 1",No,Queensland,NA
Malurus alboscapulatus balim,Swaddle et al. 2000,https://doi.org/10.1093/beheco/11.3.345,196,R&E2013,wing length,mm,50.1,6,1.2,48.3,6,1.2,"No explicit mention of measurement, only reference to own data and two books that are not accessible; estimates from Table 1",No,Queensland,NA
Malurus alboscapulatus kutubu,Swaddle et al. 2000,https://doi.org/10.1093/beheco/11.3.345,197,R&E2013,wing length,mm,53,3,0,52.5,4,1.3,"No explicit mention of measurement, only reference to own data and two books that are not accessible; estimates from Table 1",No,Queensland,NA
Malurus alboscapulatus lorentzi,Swaddle et al. 2000,https://doi.org/10.1093/beheco/11.3.345,198,R&E2013,wing length,mm,43.4,7,1,42.3,6,1.3,"No explicit mention of measurement, only reference to own data and two books that are not accessible; estimates from Table 1",No,Queensland,NA
Malurus alboscapulatus moretoni,Swaddle et al. 2000,https://doi.org/10.1093/beheco/11.3.345,199,R&E2013,wing length,mm,47.9,33,2,46,20,1.1,"No explicit mention of measurement, only reference to own data and two books that are not accessible; estimates from Table 1",No,Queensland,NA
Malurus alboscapulatus naimii (highland form),Swaddle et al. 2000,https://doi.org/10.1093/beheco/11.3.345,200,R&E2013,wing length,mm,50.1,16,1.9,48.1,18,1.4,"No explicit mention of measurement, only reference to own data and two books that are not accessible; estimates from Table 1",No,Queensland,NA
Malurus alboscapulatus naimii (lowland form),Swaddle et al. 2000,https://doi.org/10.1093/beheco/11.3.345,201,R&E2013,wing length,mm,46.8,11,1.5,44.8,10,1.4,"No explicit mention of measurement, only reference to own data and two books that are not accessible; estimates from Table 1",No,Queensland,NA
Malurus alboscapulatus randi,Swaddle et al. 2000,https://doi.org/10.1093/beheco/11.3.345,202,R&E2013,wing length,mm,53.2,6,2,51.5,4,1.3,"No explicit mention of measurement, only reference to own data and two books that are not accessible; estimates from Table 1",No,Queensland,NA
Malurus leucopterus edouardi,Swaddle et al. 2000,https://doi.org/10.1093/beheco/11.3.345,203,R&E2013,wing length,mm,45.4,10,0.9,44.2,6,1,"No explicit mention of measurement, only reference to own data and two books that are not accessible; estimates from Table 1",No,Queensland,NA
Malurus leucopterus leuconotus,Swaddle et al. 2000,https://doi.org/10.1093/beheco/11.3.345,204,R&E2013,wing length,mm,47.3,199,1.5,45.5,40,1.2,"No explicit mention of measurement, only reference to own data and two books that are not accessible; estimates from Table 1",No,Queensland,NA
Malurus leucopterus leucopterus,Swaddle et al. 2000,https://doi.org/10.1093/beheco/11.3.345,205,R&E2013,wing length,mm,43.7,14,1.5,42.4,8,1.1,"No explicit mention of measurement, only reference to own data and two books that are not accessible; estimates from Table 1",No,Queensland,NA
Malurus melanocephalus,Swaddle et al. 2000,https://doi.org/10.1093/beheco/11.3.345,206,R&E2013,wing length,mm,40.93,50,0.96,40.47,39,1.01,"No explicit mention of measurement, only reference to own data and two books that are not accessible; unclear relationship between in-text estimates (original estimates) and estimates in Table 1 (s. below)",No,Queensland,NA
Malurus melanocephalus cruentatus,Swaddle et al. 2000,https://doi.org/10.1093/beheco/11.3.345,207,R&E2013,wing length,mm,42.7,80,1.5,41.6,32,1.5,"No explicit mention of measurement, only reference to own data and two books that are not accessible; estimates from Table 1",No,Queensland,NA
Malurus melanocephalus melanocephalus,Swaddle et al. 2000,https://doi.org/10.1093/beheco/11.3.345,208,R&E2013,wing length,mm,44,52,1.3,43.1,16,1.9,"No explicit mention of measurement, only reference to own data and two books that are not accessible; estimates from Table 1",No,Queensland,NA
Marmoronetta angustirostris,Green 2000,https://doi.org/10.1034/j.1600-048X.2000.310310.x,209,R&E2013,wing length,mm,202.9,26,5.2,198,30,4,Original species: Marmoronetta angustirostris,No,"Alicante, Spain","""folded wing length (distance from carpal joint to the tip of the longest primary)"""
Merops apiaster,Lessels & Ovenden 1989,https://doi.org/10.2307/1368167,210,R&E2013,wing length,mm,152.5,116,3.27,147.5,135,3.32,NA,No,"Mas des Sarcelles, Camargue region, France","""(flattened, straightened wing; Spencer 1984) (...) to the nearest 1 mm"""
Miliaria calandra,Boddy & Blackburn 1978,https://doi.org/10.1080/03078698.2005.9674325,211,new_21,wing length,mm,100.1,68,1.8,90.3,202,2,"Original trait: wing size, no mention of measurement method",No,"River Trent in north Nottinghamshire, Great Britain",NA
Miliaria calandra,Campos et al. 2005,https://doi.org/10.1080/03078698.2005.9674325,212,new_21,wing length,mm,101.3,52,2.97,93,51,3.91,Original trait: wing size,No,"Olite (42°29’N 1°39’W), northern Spain","""Svensson (1996), wing length (maximum chord) (...) nearest 0.5 mm with a stopped rule"""
Miliaria calandra,Cramp & Perrins 1994,https://doi.org/10.1080/03078698.2005.9674325,213,new_21,wing length,mm,101.5,48,2.23,92.7,25,2.54,"Original trait: wing size; cannot access reference (Cramp, S. & Perrins, C.M. (eds) (1994) The Birds of the Western Palearctic. Vol IX. Oxford University Press, Oxford.)",No,Netherlands ,NA
Miliaria calandra,Eck 1985,https://doi.org/10.1080/03078698.2005.9674325,214,new_21,wing length,mm,102.7,53,2.65,92.5,10,1.96,"Original trait: wing size; cannot access reference (Eck, S. (1985) Katalog der ornithologischen Sammlung Dr Udo Bahrmanns. (6. Fortsetzung). Zoologische-Abhandlungen Staatl. Mus. Tierkde Dresden 41, 1-32.)",No,Germany,NA
Milvus migrans,Sergio et al. 2007,https://doi.org/10.1111/j.1439-0310.2007.01417.x,215,R&E2013,wing length,mm,445.1,38,13.56171,447.3,51,14.28286,Original SD.male: 13.5617108065317; orginal SD.female: 14.2828568570857; no description of the measurement method besides accuracy,No,Doñana National Park (south-western Spain),"""wing length (...) to the nearest 1.0 mm"""
Mionectes striaticollis,Kennedy et al. 2018,https://journals.sfu.ca/ornneo/index.php/ornneo/article/viewFile/323/ON%20SI%2029%20%282018%29%20S63-S73%20%281%29.pdf,216,new,wing chord,mm,70.6,34,2.7,64.3,32,3,NA,No,"Manu National Park, Peru, at Wayqecha Biological Station (13°11'14.4''S, 71°35'9.3''W, 2900 m a.s.l.)",natural wing chord (Pyle 1997)
Myiothlypis luteoviridis,Kennedy et al. 2018,https://journals.sfu.ca/ornneo/index.php/ornneo/article/viewFile/323/ON%20SI%2029%20%282018%29%20S63-S73%20%281%29.pdf,217,new_21,wing chord,mm,67.1,8,3.2,62.9,14,2.8,NA,No,"Manu National Park, Peru, at Wayqecha Biological Station (13°11'14.4''S, 71°35'9.3''W, 2900 m a.s.l.)",natural wing chord (Pyle 1997)
Myiothlypis signata,Kennedy et al. 2018,https://journals.sfu.ca/ornneo/index.php/ornneo/article/viewFile/323/ON%20SI%2029%20%282018%29%20S63-S73%20%281%29.pdf,218,new_21,wing chord,mm,61.2,12,1.1,56.5,6,1.4,NA,No,"Manu National Park, Peru, at Wayqecha Biological Station (13°11'14.4''S, 71°35'9.3''W, 2900 m a.s.l.)",natural wing chord (Pyle 1997)
Nectarinia famosa,de Swardt et al. 2003,https://www.academia.edu/8348774/An_analysis_of_biometric_data_of_the_Malachite_Sunbird_Nectarinia_famosa_from_five_regions_in_South_Africa,304,R&E2013,wing length,mm,81,143,2.5,71.4,97,2.6,NA,No,Mpumalanga,
Nectarinia famosa,de Swardt et al. 2003,https://www.academia.edu/8348774/An_analysis_of_biometric_data_of_the_Malachite_Sunbird_Nectarinia_famosa_from_five_regions_in_South_Africa,305,R&E2013,wing length,mm,79.7,104,3,72.2,72,2.8,NA,No,KwaZulu-Natal,
Nectarinia famosa,de Swardt et al. 2003,https://www.academia.edu/8348774/An_analysis_of_biometric_data_of_the_Malachite_Sunbird_Nectarinia_famosa_from_five_regions_in_South_Africa,306,R&E2013,wing length,mm,80,368,3.4,71.8,127,2.6,NA,No,Free State,
Nectarinia famosa,de Swardt et al. 2003,https://www.academia.edu/8348774/An_analysis_of_biometric_data_of_the_Malachite_Sunbird_Nectarinia_famosa_from_five_regions_in_South_Africa,307,R&E2013,wing length,mm,75.3,100,2.8,68.4,101,2.3,NA,No,Eastern Cape,
Nectarinia famosa,de Swardt et al. 2003,https://www.academia.edu/8348774/An_analysis_of_biometric_data_of_the_Malachite_Sunbird_Nectarinia_famosa_from_five_regions_in_South_Africa,308,R&E2013,wing length,mm,75.5,152,3.1,68.3,97,2.9,NA,No,Western Cape,
Nectarinia johnstoni,Evans & Barnard 1995,https://doi.org/10.1111/j.1095-8312.1995.tb01043.x,219,R&E2013,wing length,mm,82.93,67,1.43,74.18,38,1.27,NA,No,Mount Kenya,"""wing length (flattened chord, to the nearest mm)"""
Oenanthe leucura,Møller et al.  1995,https://doi.org/10.1093/beheco/6.4.368,220,R&E2013,wing length,mm,98.81,134,2.662442,92.36,90,3.510128,"Original SD.male: 2.66244248764175, SD.female: 3.50916831024931; reported SE.male: 0.23, SE.female: 0.37",No,"Hoya de Guadix, Spain (37°18' N, 3°11' W)","""length of the right flattened wing (Svensson, 1984 (...))"""
Onychognathus nabouroup,Henry et al. 2015,https://doi.org/10.1371/journal.pone.0135628,221,new,wing chord,mm,144.99,31,3.77,138.8,34,3.76,Original trait: wing,No,Augrabies Falls National Park in South Africa,"""measured wing length using the flattened chord method"""
Onychoprion fuscata,Reynolds et al. 2008,https://doi.org/10.1111/j.1469-7998.2007.00350.x,222,R&E2013,wing length,mm,294.9,37,6.56,291.7,26,6.45,Measurement method needs to be double checked,No,"Ascension Island (ref number SH001) South Atlantic Ocean (071570 S, 141240 W)","""wing length – measured with a stopped ruler to the nearest millimetre (Redfern & Clark, 2001)"""
Otis tarda,Alonso et al. 2009,https://doi.org/10.1525/auk.2009.08233,223,R&E2013,wing length,mm,566.9,50,14.7,444.7,19,14.7,Unflattened wing length,No,Spain,"""Minimum distance between carpal joint and tip of the longest primary feather (unflattened wing length)"""
Pachyptila belcheri,Genevois et al. 1995,https://notornis.osnz.org.nz/system/files/Notornis_42_1_1.pdf,224,R&E2013,wing length,mm,183.7,154,3.9,183,127,3.9,No exact mention of the measurement ,No,"Mayes Island, Kerguelen Archipelago (48°38' S, 68°38' E)","""wing length to the nearest lmrn with a steel tape"""
Panurus biarmicus,Hoi & Hoi-Leitner 1997,https://doi.org/10.1093/beheco/8.2.113,225,new,wing length,mm,60.9,32,1.697056,NA,NA,NA,Original SD.male: 1.69705627484771; reported SE.male: 0.3; original source Hoi & Hoi-Leitner 1995,No,"Lake Neusiedl (Eastern Austria, 47°56'N/16°45'E)","""wing-, tail-, and tarsus lengths (measured according to Sales, 1973)"""
Panurus biarmicus,Hoi & Hoi-Leitner 1997,https://doi.org/10.1093/beheco/8.2.113,225,new,wing length,mm,61.2,12,2.251666,NA,NA,NA,Original SD.male: 2.25166604983954; reported SE.male: 0.65; original source Hoi & Hoi-Leitner 1995,No,"Lake Neusiedl (Eastern Austria, 47°56'N/16°45'E)","""wing-, tail-, and tarsus lengths (measured according to Sales, 1973)"""
Parus caeruleus,Blondel et al. 2001,https://doi.org/10.1186/BF03500877,226,R&E2013,wing length,mm,66.6,266,1.8,63.8,293,1.5,Original source: Blondel et al. 2002; no exact mention of measurement method,No,"Montpellier, France; Deciduous","""adult birds were measured (body mass, wing length, tarsus length, bill length)"""
Parus caeruleus,Blondel et al. 2001,https://doi.org/10.1186/BF03500877,226,R&E2013,wing length,mm,66.4,41,2,63.9,36,1.6,Original source: Blondel et al. 2002; no exact mention of measurement method,No,"Montpellier, France; Evergreen","""adult birds were measured (body mass, wing length, tarsus length, bill length)"""
Parus caeruleus,Harper 1999,https://doi.org/10.1006/anbe.1999.1154,227,new_21,wing length,mm,65.1,48,1.5,62,30,1.4,Only young birds,No,"University of Sussex (50°53'N, 0°06'W)",Not tracked
Parus caeruleus,Przybylo 2000,https://doi.org/10.1111/j.1095-8312.2000.tb01200.x,228,R&E2013,wing length,mm,68.58,154,1.54,65.68,154,1.36,NA,No,"Swedish island of Gotland (57""10'N, 18'20'E). ","""wing, primary, tail, bill length, and bill depth were measured according to Merila & Gustafsson (1993) [""length of folded right wing (WI) held flat and straight on a ruler""]"""
Parus caeruleus ogliastrae,Blondel et al. 2001,https://doi.org/10.1186/BF03500877,229,R&E2013,wing length,mm,63.2,215,1.5,60.8,144,1.5,Original source: Blondel et al. 2002; original species: Parus caeruleus; no exact mention of measurement method,No,"Corsica, Deciduous","""adult birds were measured (body mass, wing length, tarsus length, bill length)"""
Parus caeruleus ogliastrae,Blondel et al. 2001,https://doi.org/10.1186/BF03500877,229,R&E2013,wing length,mm,63.6,253,1.6,60.7,237,1.2,Original source: Blondel et al. 2002; original species: Parus caeruleus; no exact mention of measurement method,No,"Corsica, Evergreen","""adult birds were measured (body mass, wing length, tarsus length, bill length)"""
Parus major,Ebenman 1986,https://doi.org/10.2307/3565448,230,new_21,wing length,mm,75.67,16,1.16,73.25,5,0.626099,Original trait: wing; no clear definition of measurement methodology,No,southernmost Sweden,"""wing length were measured with an accuracy of 0.05 mm"""
Parus major,Ebenman 1986,https://doi.org/10.2307/3565448,230,R&E2013,wing length,mm,76.18,19,1.830738,72.7,10,1.391402,Original trait: wing; no clear definition of measurement methodology,No,southernmost Sweden,"""wing length were measured with an accuracy of 0.05 mm"""
Parus major,Ebenman 1986,https://doi.org/10.2307/3565448,230,R&E2013,wing length,mm,76.89,19,1.699971,73.7,10,1.359779,Original trait: wing; no clear definition of measurement methodology,No,southernmost Sweden,"""wing length were measured with an accuracy of 0.05 mm"""
Parus major,Ferns & Hinsley 2004,https://doi.org/10.1016/j.anbehav.2003.05.006,231,new,wing length,mm,76.8,160,1.5,NA,NA,NA,NA,No,Eastern England,"""measured wing lengths (+/- 1 mm, maximum chord)"""
Parus major,Harper 1999,https://doi.org/10.1006/anbe.1999.1154,232,R&E2013,wing length,mm,77.4,30,1.6,73.9,30,1.4,"Original trait: wing, only young birds",No,"University of Sussex (50°53'N, 0°06'W)",
Parus major,Poissant et al. 2016,https://doi.org/10.1111/jeb.12925,233,new,wing length,mm,75.86,1207,1.32,73.05,1367,1.3,Original mean.male: 73.05; no clear definition of measurement methodology,No,"Wytham Woods, UK","""We considered four sexually dimorphic morphological traits (...): wing length, (...)"""
Passer domesticus,Jensen et al. 2008,https://doi.org/10.1111/j.1558-5646.2008.00395.x,234,R&E2013,wing length,mm,80.488,533,1.676,77.999,495,1.62,"Original mean.female: 78.12, SD.female: 1.62251310914243",No,"Coast of northern Norway (66°N, 13°E, see map in Ringsby et al. 2002)","""ruler to measure wing length (± 0.5 mm; method 3, Svensson 1992)"""
Passer domesticus,McCollin et al. 2015,https://doi.org/10.1080/00063657.2015.1061476,235,new_21,wing length,mm,77.9,160,1.74,75.2,148,1.66,data derived from volunteer collected sampling; AST: added by AST,No,710 sites from 50°50?N 0°19?W to 57°30?N 2°18?W,simply as wing lengths
Passer domesticus,Moreno-Rueda 2005,https://doi.org/10.1007/s10164-005-0183-1,236,R&E2013,wing length,mm,79.08,12,2.27,76.92,12,1.78,Original mean.female: 79.92,No,Padul (Granada),
